fscore,metadata_dataname,metadata_incremental-kickin-step,metadata_input-directory,metadata_input-file-prefix,metadata_ncore,metadata_nproc,metadata_nsplit,metadata_nthread,metadata_output-directory,metadata_per-process-memory,metadata_selective-prune-threshold,metadata_summary-threshold,ncol_minc,niter_cluster_m22,niter_cluster_minc,nnz_minc,nrow_minc,number_cluster_m22,number_cluster_minc,split,time_cluster_m22,time_cluster_minc,time_prep_minc
-1.0,eukarya,20,/global/cfs/cdirs/m1982/taufique/eukarya-incremental/50-split/,eukarya_30_50_length,1024,64,50,16,/pscratch/sd/t/taufique/incremental.eukarya.50.20.50.70.perlmutter_cpu.node_8.proc_8.thread_16/,30,70,50,129898,,,578786,129898,,,1,,,0.211604
-1.0,eukarya,20,/global/cfs/cdirs/m1982/taufique/eukarya-incremental/50-split/,eukarya_30_50_length,1024,64,50,16,/pscratch/sd/t/taufique/incremental.eukarya.50.20.50.70.perlmutter_cpu.node_8.proc_8.thread_16/,30,70,50,194975,,,1303330,194975,,,2,,,0.345579
-1.0,eukarya,20,/global/cfs/cdirs/m1982/taufique/eukarya-incremental/50-split/,eukarya_30_50_length,1024,64,50,16,/pscratch/sd/t/taufique/incremental.eukarya.50.20.50.70.perlmutter_cpu.node_8.proc_8.thread_16/,30,70,50,259715,,,2305092,259715,,,3,,,0.537797
-1.0,eukarya,20,/global/cfs/cdirs/m1982/taufique/eukarya-incremental/50-split/,eukarya_30_50_length,1024,64,50,16,/pscratch/sd/t/taufique/incremental.eukarya.50.20.50.70.perlmutter_cpu.node_8.proc_8.thread_16/,30,70,50,324686,,,3615046,324686,,,4,,,0.756466
-1.0,eukarya,20,/global/cfs/cdirs/m1982/taufique/eukarya-incremental/50-split/,eukarya_30_50_length,1024,64,50,16,/pscratch/sd/t/taufique/incremental.eukarya.50.20.50.70.perlmutter_cpu.node_8.proc_8.thread_16/,30,70,50,389540,,,5206986,389540,,,5,,,0.953586
-1.0,eukarya,20,/global/cfs/cdirs/m1982/taufique/eukarya-incremental/50-split/,eukarya_30_50_length,1024,64,50,16,/pscratch/sd/t/taufique/incremental.eukarya.50.20.50.70.perlmutter_cpu.node_8.proc_8.thread_16/,30,70,50,454498,,,7073888,454498,,,6,,,1.146662
-1.0,eukarya,20,/global/cfs/cdirs/m1982/taufique/eukarya-incremental/50-split/,eukarya_30_50_length,1024,64,50,16,/pscratch/sd/t/taufique/incremental.eukarya.50.20.50.70.perlmutter_cpu.node_8.proc_8.thread_16/,30,70,50,519292,,,9198110,519292,,,7,,,1.486667
-1.0,eukarya,20,/global/cfs/cdirs/m1982/taufique/eukarya-incremental/50-split/,eukarya_30_50_length,1024,64,50,16,/pscratch/sd/t/taufique/incremental.eukarya.50.20.50.70.perlmutter_cpu.node_8.proc_8.thread_16/,30,70,50,583808,,,11602558,583808,,,8,,,1.852297
-1.0,eukarya,20,/global/cfs/cdirs/m1982/taufique/eukarya-incremental/50-split/,eukarya_30_50_length,1024,64,50,16,/pscratch/sd/t/taufique/incremental.eukarya.50.20.50.70.perlmutter_cpu.node_8.proc_8.thread_16/,30,70,50,648033,,,14346446,648033,,,9,,,2.023429
-1.0,eukarya,20,/global/cfs/cdirs/m1982/taufique/eukarya-incremental/50-split/,eukarya_30_50_length,1024,64,50,16,/pscratch/sd/t/taufique/incremental.eukarya.50.20.50.70.perlmutter_cpu.node_8.proc_8.thread_16/,30,70,50,712979,,,17376266,712979,,,10,,,2.379827
-1.0,eukarya,20,/global/cfs/cdirs/m1982/taufique/eukarya-incremental/50-split/,eukarya_30_50_length,1024,64,50,16,/pscratch/sd/t/taufique/incremental.eukarya.50.20.50.70.perlmutter_cpu.node_8.proc_8.thread_16/,30,70,50,777904,,,20668816,777904,,,11,,,2.721385
-1.0,eukarya,20,/global/cfs/cdirs/m1982/taufique/eukarya-incremental/50-split/,eukarya_30_50_length,1024,64,50,16,/pscratch/sd/t/taufique/incremental.eukarya.50.20.50.70.perlmutter_cpu.node_8.proc_8.thread_16/,30,70,50,842844,,,24302012,842844,,,12,,,3.15337
-1.0,eukarya,20,/global/cfs/cdirs/m1982/taufique/eukarya-incremental/50-split/,eukarya_30_50_length,1024,64,50,16,/pscratch/sd/t/taufique/incremental.eukarya.50.20.50.70.perlmutter_cpu.node_8.proc_8.thread_16/,30,70,50,907602,,,28166924,907602,,,13,,,3.554714
-1.0,eukarya,20,/global/cfs/cdirs/m1982/taufique/eukarya-incremental/50-split/,eukarya_30_50_length,1024,64,50,16,/pscratch/sd/t/taufique/incremental.eukarya.50.20.50.70.perlmutter_cpu.node_8.proc_8.thread_16/,30,70,50,972358,,,32356262,972358,,,14,,,3.938644
-1.0,eukarya,20,/global/cfs/cdirs/m1982/taufique/eukarya-incremental/50-split/,eukarya_30_50_length,1024,64,50,16,/pscratch/sd/t/taufique/incremental.eukarya.50.20.50.70.perlmutter_cpu.node_8.proc_8.thread_16/,30,70,50,1037395,,,36785502,1037395,,,15,,,4.526826
