	mean_PythonSR_PythonFilter_OTFtime	min_PythonSR_PythonFilter_OTFtime	max_PythonSR_PythonFilter_OTFtime	firstquartile_PythonSR_PythonFilter_OTFtime	thirdquartile_PythonSR_PythonFilter_OTFtime	mean_PythonSR_SejitsFilter_OTFtime	min_PythonSR_SejitsFilter_OTFtime	max_PythonSR_SejitsFilter_OTFtime	firstquartile_PythonSR_SejitsFilter_OTFtime	thirdquartile_PythonSR_SejitsFilter_OTFtime	mean_SejitsSR_SejitsFilter_OTFtime	min_SejitsSR_SejitsFilter_OTFtime	max_SejitsSR_SejitsFilter_OTFtime	firstquartile_SejitsSR_SejitsFilter_OTFtime	thirdquartile_SejitsSR_SejitsFilter_OTFtime	mean_CombBLAS_OTFtime	min_CombBLAS_OTFtime	max_CombBLAS_OTFtime	firstquartile_CombBLAS_OTFtime	thirdquartile_CombBLAS_OTFtime	
121	20.8639287502	20.6212370396	21.1757280827	20.7308946252	20.99013412	0.895382583141	0.733717918396	1.76356101036	0.74791020155	0.943344175816	0.954055279493	0.6511490345	2.96230483055	0.686601936817	0.929133355618	0.611459	0.598242	0.652629	-	-	
124.75	21.175728	-	-	-	-	1.763561	-	-	-	-	2.962305	-	-	-	-	-	-	-	-	-	
128.5	20.832741	-	-	-	-	1.055579	-	-	-	-	1.111078	-	-	-	-	-	-	-	-	-	
132.25	21.028656	-	-	-	-	0.970039	-	-	-	-	1.174922	-	-	-	-	-	-	-	-	-	
136.0	20.902568	-	-	-	-	0.856089	-	-	-	-	0.933866	-	-	-	-	-	-	-	-	-	
139.75	20.742446	-	-	-	-	0.853281	-	-	-	-	0.727884	-	-	-	-	-	-	-	-	-	
143.5	20.87016	-	-	-	-	0.853959	-	-	-	-	0.709039	-	-	-	-	-	-	-	-	-	
147.25	20.708236	-	-	-	-	0.73973	-	-	-	-	0.849984	-	-	-	-	-	-	-	-	-	
151.0	20.876553	-	-	-	-	0.86326	-	-	-	-	0.729783	-	-	-	-	-	-	-	-	-	
154.75	20.80261	-	-	-	-	0.785902	-	-	-	-	0.914936	-	-	-	-	-	-	-	-	-	
158.5	20.845449	-	-	-	-	0.733718	-	-	-	-	0.910809	-	-	-	-	-	-	-	-	-	
162.25	20.621237	-	-	-	-	0.745744	-	-	-	-	0.737671	-	-	-	-	-	-	-	-	-	
166.0	20.985104	-	-	-	-	0.786275	-	-	-	-	0.850258	-	-	-	-	-	-	-	-	-	
169.75	20.690323	-	-	-	-	0.738053	-	-	-	-	0.679123	-	-	-	-	-	-	-	-	-	
173.5	20.991811	-	-	-	-	0.793738	-	-	-	-	0.651149	-	-	-	-	-	-	-	-	-	
177.25	20.727044	-	-	-	-	0.754409	-	-	-	-	0.669689	-	-	-	-	-	-	-	-	-	
181.0	21.022194	-	-	-	-	1.032784	-	-	-	-	0.652389	-	-	-	-	-	-	-	-	-	
256	10.2632094026	9.92071199417	10.6336131096	10.1164835095	10.375910759	0.687195464969	0.395205974579	2.61431288719	0.412078440189	0.677816987038	0.639783293009	0.330148935318	2.86625289917	0.352215826511	0.649399757385	0.333911	0.320371	0.378255	-	-	
264.0	10.633613	-	-	-	-	2.614313	-	-	-	-	2.866253	-	-	-	-	-	-	-	-	-	
272.0	10.378835	-	-	-	-	1.041435	-	-	-	-	0.676346	-	-	-	-	-	-	-	-	-	
280.0	10.52425	-	-	-	-	0.782927	-	-	-	-	0.849805	-	-	-	-	-	-	-	-	-	
288.0	10.265568	-	-	-	-	0.680412	-	-	-	-	0.485758	-	-	-	-	-	-	-	-	-	
296.0	10.358561	-	-	-	-	0.670032	-	-	-	-	0.568561	-	-	-	-	-	-	-	-	-	
304.0	10.365364	-	-	-	-	0.414954	-	-	-	-	0.517647	-	-	-	-	-	-	-	-	-	
312.0	10.367138	-	-	-	-	0.637487	-	-	-	-	0.448308	-	-	-	-	-	-	-	-	-	
320.0	10.301301	-	-	-	-	0.522443	-	-	-	-	0.337697	-	-	-	-	-	-	-	-	-	
328.0	9.920712	-	-	-	-	0.395206	-	-	-	-	0.330149	-	-	-	-	-	-	-	-	-	
336.0	10.184323	-	-	-	-	0.543972	-	-	-	-	0.45846	-	-	-	-	-	-	-	-	-	
344.0	10.133027	-	-	-	-	0.4154	-	-	-	-	0.414961	-	-	-	-	-	-	-	-	-	
