	mean_PythonSR_PythonFilter_OTFtime	min_PythonSR_PythonFilter_OTFtime	max_PythonSR_PythonFilter_OTFtime	firstquartile_PythonSR_PythonFilter_OTFtime	thirdquartile_PythonSR_PythonFilter_OTFtime	mean_PythonSR_SejitsFilter_OTFtime	min_PythonSR_SejitsFilter_OTFtime	max_PythonSR_SejitsFilter_OTFtime	firstquartile_PythonSR_SejitsFilter_OTFtime	thirdquartile_PythonSR_SejitsFilter_OTFtime	mean_SejitsSR_SejitsFilter_OTFtime	min_SejitsSR_SejitsFilter_OTFtime	max_SejitsSR_SejitsFilter_OTFtime	firstquartile_SejitsSR_SejitsFilter_OTFtime	thirdquartile_SejitsSR_SejitsFilter_OTFtime	mean_CombBLAS_OTFtime	min_CombBLAS_OTFtime	max_CombBLAS_OTFtime	firstquartile_CombBLAS_OTFtime	thirdquartile_CombBLAS_OTFtime	
120.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
121	20.8639287502	20.6212370396	21.1757280827	20.7308946252	20.99013412	0.895382583141	0.733717918396	1.76356101036	0.74791020155	0.943344175816	0.954055279493	0.6511490345	2.96230483055	0.686601936817	0.929133355618	0.6114591875	0.598242	0.652629	0.6003855	0.61934525	
124.75	21.175728	-	-	-	-	1.763561	-	-	-	-	2.962305	-	-	-	-	0.652629	-	-	-	-	
128.5	20.832741	-	-	-	-	1.055579	-	-	-	-	1.111078	-	-	-	-	0.620257	-	-	-	-	
132.25	21.028656	-	-	-	-	0.970039	-	-	-	-	1.174922	-	-	-	-	0.600756	-	-	-	-	
136.0	20.902568	-	-	-	-	0.856089	-	-	-	-	0.933866	-	-	-	-	0.629037	-	-	-	-	
139.75	20.742446	-	-	-	-	0.853281	-	-	-	-	0.727884	-	-	-	-	0.598242	-	-	-	-	
143.5	20.87016	-	-	-	-	0.853959	-	-	-	-	0.709039	-	-	-	-	0.618323	-	-	-	-	
147.25	20.708236	-	-	-	-	0.73973	-	-	-	-	0.849984	-	-	-	-	0.608994	-	-	-	-	
151.0	20.876553	-	-	-	-	0.86326	-	-	-	-	0.729783	-	-	-	-	0.617927	-	-	-	-	
154.75	20.80261	-	-	-	-	0.785902	-	-	-	-	0.914936	-	-	-	-	0.619686	-	-	-	-	
158.5	20.845449	-	-	-	-	0.733718	-	-	-	-	0.910809	-	-	-	-	0.601574	-	-	-	-	
162.25	20.621237	-	-	-	-	0.745744	-	-	-	-	0.737671	-	-	-	-	0.598905	-	-	-	-	
166.0	20.985104	-	-	-	-	0.786275	-	-	-	-	0.850258	-	-	-	-	0.602654	-	-	-	-	
169.75	20.690323	-	-	-	-	0.738053	-	-	-	-	0.679123	-	-	-	-	0.606359	-	-	-	-	
173.5	20.991811	-	-	-	-	0.793738	-	-	-	-	0.651149	-	-	-	-	0.609078	-	-	-	-	
177.25	20.727044	-	-	-	-	0.754409	-	-	-	-	0.669689	-	-	-	-	0.598664	-	-	-	-	
181.0	21.022194	-	-	-	-	1.032784	-	-	-	-	0.652389	-	-	-	-	0.600262	-	-	-	-	
255.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
256	10.0632269979	10.0111329556	10.1379179955	10.0220407844	10.0929512978	0.458339050412	0.411530971527	0.644769906998	0.414009332657	0.493670880795	0.377801477909	0.345899105072	0.67235994339	0.347434043884	0.351675033569	0.3339109375	0.320371	0.378255	0.3249765	0.336686	
264.0	10.086396	-	-	-	-	0.565193	-	-	-	-	0.67236	-	-	-	-	0.378255	-	-	-	-	
272.0	10.046804	-	-	-	-	0.494908	-	-	-	-	0.349743	-	-	-	-	0.333076	-	-	-	-	
280.0	10.011133	-	-	-	-	0.416177	-	-	-	-	0.35023	-	-	-	-	0.320371	-	-	-	-	
288.0	10.078155	-	-	-	-	0.503619	-	-	-	-	0.350478	-	-	-	-	0.32063	-	-	-	-	
296.0	10.137918	-	-	-	-	0.416688	-	-	-	-	0.348997	-	-	-	-	0.336045	-	-	-	-	
304.0	10.056219	-	-	-	-	0.417636	-	-	-	-	0.349917	-	-	-	-	0.324762	-	-	-	-	
312.0	10.024208	-	-	-	-	0.416757	-	-	-	-	0.35202	-	-	-	-	0.324011	-	-	-	-	
320.0	10.090576	-	-	-	-	0.416095	-	-	-	-	0.349537	-	-	-	-	0.335966	-	-	-	-	
328.0	10.014324	-	-	-	-	0.48996	-	-	-	-	0.35064	-	-	-	-	0.32562	-	-	-	-	
336.0	10.022238	-	-	-	-	0.418992	-	-	-	-	0.349094	-	-	-	-	0.331558	-	-	-	-	
344.0	10.08099	-	-	-	-	0.64477	-	-	-	-	0.346913	-	-	-	-	0.336853	-	-	-	-	
352.0	10.093743	-	-	-	-	0.41249	-	-	-	-	0.345899	-	-	-	-	0.326812	-	-	-	-	
360.0	10.021975	-	-	-	-	0.411531	-	-	-	-	0.346049	-	-	-	-	0.337012	-	-	-	-	
368.0	10.107106	-	-	-	-	0.482913	-	-	-	-	0.354065	-	-	-	-	0.340607	-	-	-	-	
376.0	10.021098	-	-	-	-	0.413314	-	-	-	-	0.346901	-	-	-	-	0.336185	-	-	-	-	
384.0	10.118749	-	-	-	-	0.412382	-	-	-	-	0.48198	-	-	-	-	0.334812	-	-	-	-	
575.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
576	5.05720642209	4.69968795776	6.2479031086	4.92950177193	5.09378749132	0.774597510695	0.21996307373	2.30537796021	0.390889108181	1.01210033894	0.62006919086	0.18744802475	3.17482089996	0.2361587286	0.329884767532	0.189206875	0.180193	0.214536	0.1843805	0.190975	
594.0	6.247903	-	-	-	-	1.767815	-	-	-	-	2.830639	-	-	-	-	0.214536	-	-	-	-	
612.0	5.064206	-	-	-	-	2.305378	-	-	-	-	3.174821	-	-	-	-	0.196907	-	-	-	-	
630.0	5.265029	-	-	-	-	1.458202	-	-	-	-	0.459629	-	-	-	-	0.184827	-	-	-	-	
648.0	4.965435	-	-	-	-	0.56231	-	-	-	-	0.292407	-	-	-	-	0.184547	-	-	-	-	
666.0	4.927696	-	-	-	-	1.076385	-	-	-	-	0.338583	-	-	-	-	0.182948	-	-	-	-	
684.0	4.959197	-	-	-	-	0.777377	-	-	-	-	0.292962	-	-	-	-	0.190158	-	-	-	-	
702.0	4.946822	-	-	-	-	0.819247	-	-	-	-	0.272173	-	-	-	-	0.180193	-	-	-	-	
720.0	4.806411	-	-	-	-	0.414257	-	-	-	-	0.279625	-	-	-	-	0.190363	-	-	-	-	
738.0	5.229766	-	-	-	-	0.34512	-	-	-	-	0.293634	-	-	-	-	0.191179	-	-	-	-	
756.0	4.941305	-	-	-	-	0.509216	-	-	-	-	0.298006	-	-	-	-	0.185818	-	-	-	-	
774.0	4.988685	-	-	-	-	0.498211	-	-	-	-	0.30379	-	-	-	-	0.186592	-	-	-	-	
