	mean_PythonSR_PythonFilter_OTFtime	min_PythonSR_PythonFilter_OTFtime	max_PythonSR_PythonFilter_OTFtime	firstquartile_PythonSR_PythonFilter_OTFtime	thirdquartile_PythonSR_PythonFilter_OTFtime	mean_PythonSR_SejitsFilter_OTFtime	min_PythonSR_SejitsFilter_OTFtime	max_PythonSR_SejitsFilter_OTFtime	firstquartile_PythonSR_SejitsFilter_OTFtime	thirdquartile_PythonSR_SejitsFilter_OTFtime	mean_SejitsSR_SejitsFilter_OTFtime	min_SejitsSR_SejitsFilter_OTFtime	max_SejitsSR_SejitsFilter_OTFtime	firstquartile_SejitsSR_SejitsFilter_OTFtime	thirdquartile_SejitsSR_SejitsFilter_OTFtime	mean_CombBLAS_OTFtime	min_CombBLAS_OTFtime	max_CombBLAS_OTFtime	firstquartile_CombBLAS_OTFtime	thirdquartile_CombBLAS_OTFtime	
1	-	-	-	-	-	-	-	-	-	-	3.219828	3.21181607246	3.29026603699	3.2184599638	3.26355826855	1.93878	1.90686	1.97177	-	-	
1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
4	56.956625998	56.2996480465	58.0025789738	56.5716750622	57.2164122462	1.20964865386	1.19302511215	1.22921609879	1.1990197897	1.21678650379	0.806408777833	0.797553062439	0.816248178482	0.802838981152	0.810074388981	0.748387	0.58285	0.782475	-	-	
4.125	58.002579	-	-	-	-	1.197596	-	-	-	-	0.802228	-	-	-	-	-	-	-	-	-	
4.25	57.27631	-	-	-	-	1.197394	-	-	-	-	0.807067	-	-	-	-	-	-	-	-	-	
4.375	57.193214	-	-	-	-	1.193025	-	-	-	-	0.805131	-	-	-	-	-	-	-	-	-	
4.5	56.983548	-	-	-	-	1.194544	-	-	-	-	0.797553	-	-	-	-	-	-	-	-	-	
4.625	57.224145	-	-	-	-	1.204988	-	-	-	-	0.806347	-	-	-	-	-	-	-	-	-	
4.75	56.981718	-	-	-	-	1.208292	-	-	-	-	0.807366	-	-	-	-	-	-	-	-	-	
4.875	56.83431	-	-	-	-	1.203291	-	-	-	-	0.798025	-	-	-	-	-	-	-	-	-	
5.0	56.852096	-	-	-	-	1.225063	-	-	-	-	0.81355	-	-	-	-	-	-	-	-	-	
5.125	57.742234	-	-	-	-	1.207427	-	-	-	-	0.800748	-	-	-	-	-	-	-	-	-	
5.25	56.414962	-	-	-	-	1.213156	-	-	-	-	0.80585	-	-	-	-	-	-	-	-	-	
5.375	56.860455	-	-	-	-	1.214595	-	-	-	-	0.805616	-	-	-	-	-	-	-	-	-	
5.5	56.389213	-	-	-	-	1.216317	-	-	-	-	0.809506	-	-	-	-	-	-	-	-	-	
5.625	56.556976	-	-	-	-	1.216943	-	-	-	-	0.810264	-	-	-	-	-	-	-	-	-	
5.75	57.078836	-	-	-	-	1.2225	-	-	-	-	0.812369	-	-	-	-	-	-	-	-	-	
5.875	56.299648	-	-	-	-	1.210031	-	-	-	-	0.804672	-	-	-	-	-	-	-	-	-	
6.0	56.615772	-	-	-	-	1.229216	-	-	-	-	0.816248	-	-	-	-	-	-	-	-	-	
9	25.9176743925	25.75978899	26.0867378712	25.8366210461	25.9686434865	0.61043292284	0.599483013153	0.616354942322	0.608114421368	0.613321244717	0.417765960097	0.405643224716	0.430768966675	0.412015318871	0.423205018044	0.36538	0.261824	0.62942	-	-	
9.25	26.016774	-	-	-	-	0.613399	-	-	-	-	0.411083	-	-	-	-	-	-	-	-	-	
9.5	25.969194	-	-	-	-	0.613244	-	-	-	-	0.430769	-	-	-	-	-	-	-	-	-	
9.75	25.850384	-	-	-	-	0.608125	-	-	-	-	0.428168	-	-	-	-	-	-	-	-	-	
10.0	25.759789	-	-	-	-	0.609891	-	-	-	-	0.427747	-	-	-	-	-	-	-	-	-	
10.25	25.806131	-	-	-	-	0.607069	-	-	-	-	0.42033	-	-	-	-	-	-	-	-	-	
10.5	25.946986	-	-	-	-	0.599483	-	-	-	-	0.405643	-	-	-	-	-	-	-	-	-	
10.75	25.953274	-	-	-	-	0.60975	-	-	-	-	0.41544	-	-	-	-	-	-	-	-	-	
11.0	25.919537	-	-	-	-	0.612163	-	-	-	-	0.417622	-	-	-	-	-	-	-	-	-	
11.25	26.018225	-	-	-	-	0.608111	-	-	-	-	0.412316	-	-	-	-	-	-	-	-	-	
11.5	25.938426	-	-	-	-	0.606799	-	-	-	-	0.417697	-	-	-	-	-	-	-	-	-	
11.75	25.849464	-	-	-	-	0.609843	-	-	-	-	0.41148	-	-	-	-	-	-	-	-	-	
12.0	25.821119	-	-	-	-	0.616355	-	-	-	-	0.421312	-	-	-	-	-	-	-	-	-	
12.25	26.086738	-	-	-	-	0.610306	-	-	-	-	0.412714	-	-	-	-	-	-	-	-	-	
12.5	25.966992	-	-	-	-	0.615864	-	-	-	-	0.423836	-	-	-	-	-	-	-	-	-	
12.75	25.83234	-	-	-	-	0.613178	-	-	-	-	0.411915	-	-	-	-	-	-	-	-	-	
13.0	25.947417	-	-	-	-	0.613347	-	-	-	-	0.416183	-	-	-	-	-	-	-	-	-	
16	15.2098217309	14.9877331257	15.405629158	15.1667222977	15.2828006744	0.388525620103	0.378654003143	0.399505138397	0.384648680687	0.392127513885	0.287536039948	0.272294998169	0.372101783752	0.277864158154	0.287155926228	0.22462	0.216501	0.231634	-	-	
16.5	15.262468	-	-	-	-	0.399505	-	-	-	-	0.372102	-	-	-	-	-	-	-	-	-	
17.0	15.289578	-	-	-	-	0.387831	-	-	-	-	0.281571	-	-	-	-	-	-	-	-	-	
17.5	15.3311	-	-	-	-	0.390557	-	-	-	-	0.285413	-	-	-	-	-	-	-	-	-	
18.0	15.181066	-	-	-	-	0.392261	-	-	-	-	0.287737	-	-	-	-	-	-	-	-	-	
18.5	14.987733	-	-	-	-	0.384028	-	-	-	-	0.28205	-	-	-	-	-	-	-	-	-	
19.0	15.187464	-	-	-	-	0.395153	-	-	-	-	0.290645	-	-	-	-	-	-	-	-	-	
19.5	15.22219	-	-	-	-	0.390647	-	-	-	-	0.284311	-	-	-	-	-	-	-	-	-	
20.0	15.18799	-	-	-	-	0.385816	-	-	-	-	0.282507	-	-	-	-	-	-	-	-	-	
20.5	15.210027	-	-	-	-	0.38528	-	-	-	-	0.283376	-	-	-	-	-	-	-	-	-	
21.0	15.161941	-	-	-	-	0.394649	-	-	-	-	0.289679	-	-	-	-	-	-	-	-	-	
21.5	15.189881	-	-	-	-	0.385041	-	-	-	-	0.284314	-	-	-	-	-	-	-	-	-	
22.0	15.301093	-	-	-	-	0.383102	-	-	-	-	0.272295	-	-	-	-	-	-	-	-	-	
22.5	15.118761	-	-	-	-	0.391727	-	-	-	-	0.279818	-	-	-	-	-	-	-	-	-	
23.0	15.184903	-	-	-	-	0.384518	-	-	-	-	0.273778	-	-	-	-	-	-	-	-	-	
23.5	15.405629	-	-	-	-	0.387641	-	-	-	-	0.277213	-	-	-	-	-	-	-	-	-	
24.0	15.135323	-	-	-	-	0.378654	-	-	-	-	0.273768	-	-	-	-	-	-	-	-	-	
25	10.7213301659	10.6306729317	10.923169136	10.6698763371	10.7425190806	0.374040186405	0.285705089569	0.451545953751	0.297306239605	0.44220751524	0.227929070592	0.208493947983	0.248093128204	0.213627755642	0.239800512791	0.173377	0.15802	0.180457	-	-	
25.75	10.7504	-	-	-	-	0.294734	-	-	-	-	0.21351	-	-	-	-	-	-	-	-	-	
26.5	10.814688	-	-	-	-	0.28726	-	-	-	-	0.210887	-	-	-	-	-	-	-	-	-	
27.25	10.669335	-	-	-	-	0.285705	-	-	-	-	0.208494	-	-	-	-	-	-	-	-	-	
28.0	10.672694	-	-	-	-	0.293714	-	-	-	-	0.214329	-	-	-	-	-	-	-	-	-	
28.75	10.698215	-	-	-	-	0.451283	-	-	-	-	0.217383	-	-	-	-	-	-	-	-	-	
29.5	10.706807	-	-	-	-	0.443327	-	-	-	-	0.213343	-	-	-	-	-	-	-	-	-	
30.25	10.718876	-	-	-	-	0.442389	-	-	-	-	0.213981	-	-	-	-	-	-	-	-	-	
31.0	10.853777	-	-	-	-	0.438332	-	-	-	-	0.240549	-	-	-	-	-	-	-	-	-	
31.75	10.923169	-	-	-	-	0.451546	-	-	-	-	0.248093	-	-	-	-	-	-	-	-	-	
32.5	10.669841	-	-	-	-	0.433266	-	-	-	-	0.233157	-	-	-	-	-	-	-	-	-	
33.25	10.630673	-	-	-	-	0.439894	-	-	-	-	0.237675	-	-	-	-	-	-	-	-	-	
34.0	10.712121	-	-	-	-	0.441663	-	-	-	-	0.240509	-	-	-	-	-	-	-	-	-	
34.75	10.696247	-	-	-	-	0.342833	-	-	-	-	0.236666	-	-	-	-	-	-	-	-	-	
35.5	10.690203	-	-	-	-	0.324312	-	-	-	-	0.237417	-	-	-	-	-	-	-	-	-	
36	8.35650077462	7.35681700706	14.6334660053	7.39852255583	7.53607273102	0.251964300871	0.247247934341	0.258530855179	0.249220192432	0.254318833351	0.219133540988	0.210336923599	0.243504047394	0.21374720335	0.221573650837	0.144455	0.140239	0.148649	-	-	
36.25	10.669982	-	-	-	-	0.309362	-	-	-	-	0.244028	-	-	-	-	-	-	-	-	-	
37.0	10.664254	-	-	-	-	0.305023	-	-	-	-	0.236844	-	-	-	-	-	-	-	-	-	
37.125	7.401545	-	-	-	-	0.252719	-	-	-	-	0.221036	-	-	-	-	-	-	-	-	-	
38.25	7.375233	-	-	-	-	0.252136	-	-	-	-	0.220167	-	-	-	-	-	-	-	-	-	
39.375	7.432917	-	-	-	-	0.258531	-	-	-	-	0.222325	-	-	-	-	-	-	-	-	-	
40.5	7.443131	-	-	-	-	0.252245	-	-	-	-	0.218678	-	-	-	-	-	-	-	-	-	
41.625	14.418923	-	-	-	-	0.254852	-	-	-	-	0.221753	-	-	-	-	-	-	-	-	-	
42.75	14.633466	-	-	-	-	0.249749	-	-	-	-	0.215799	-	-	-	-	-	-	-	-	-	
43.875	8.015109	-	-	-	-	0.24729	-	-	-	-	0.213508	-	-	-	-	-	-	-	-	-	
45.0	7.397515	-	-	-	-	0.252004	-	-	-	-	0.219681	-	-	-	-	-	-	-	-	-	
46.125	7.356817	-	-	-	-	0.252084	-	-	-	-	0.219867	-	-	-	-	-	-	-	-	-	
47.25	7.547179	-	-	-	-	0.256556	-	-	-	-	0.222377	-	-	-	-	-	-	-	-	-	
48.375	7.47114	-	-	-	-	0.248447	-	-	-	-	0.243504	-	-	-	-	-	-	-	-	-	
49.5	7.381171	-	-	-	-	0.251347	-	-	-	-	0.219009	-	-	-	-	-	-	-	-	-	
50.625	7.407843	-	-	-	-	0.251844	-	-	-	-	0.212353	-	-	-	-	-	-	-	-	-	
51.75	7.502754	-	-	-	-	0.247248	-	-	-	-	0.210337	-	-	-	-	-	-	-	-	-	
52.875	7.493616	-	-	-	-	0.255333	-	-	-	-	0.214465	-	-	-	-	-	-	-	-	-	
54.0	7.425653	-	-	-	-	0.249044	-	-	-	-	0.211278	-	-	-	-	-	-	-	-	-	
