	mean_PythonSR_PythonFilter_OTFtime	min_PythonSR_PythonFilter_OTFtime	max_PythonSR_PythonFilter_OTFtime	firstquartile_PythonSR_PythonFilter_OTFtime	thirdquartile_PythonSR_PythonFilter_OTFtime	mean_PythonSR_SejitsFilter_OTFtime	min_PythonSR_SejitsFilter_OTFtime	max_PythonSR_SejitsFilter_OTFtime	firstquartile_PythonSR_SejitsFilter_OTFtime	thirdquartile_PythonSR_SejitsFilter_OTFtime	mean_SejitsSR_SejitsFilter_OTFtime	min_SejitsSR_SejitsFilter_OTFtime	max_SejitsSR_SejitsFilter_OTFtime	firstquartile_SejitsSR_SejitsFilter_OTFtime	thirdquartile_SejitsSR_SejitsFilter_OTFtime	mean_CombBLAS_OTFtime	min_CombBLAS_OTFtime	max_CombBLAS_OTFtime	firstquartile_CombBLAS_OTFtime	thirdquartile_CombBLAS_OTFtime	
0.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
1	-	-	-	-	-	-	-	-	-	-	65.027885884	57.5064609051	69.5333199501	58.9831203818	68.8635614514	55.5726	49.6634	59.3511	50.30905	58.8403	
1.03125	-	-	-	-	-	-	-	-	-	-	66.704543	-	-	-	-	57.5941	-	-	-	-	
1.0625	-	-	-	-	-	-	-	-	-	-	59.69384	-	-	-	-	50.3021	-	-	-	-	
1.09375	-	-	-	-	-	-	-	-	-	-	57.562063	-	-	-	-	49.71	-	-	-	-	
1.125	-	-	-	-	-	-	-	-	-	-	67.262297	-	-	-	-	57.3958	-	-	-	-	
1.15625	-	-	-	-	-	-	-	-	-	-	68.956347	-	-	-	-	58.9017	-	-	-	-	
1.1875	-	-	-	-	-	-	-	-	-	-	68.585205	-	-	-	-	58.717	-	-	-	-	
1.21875	-	-	-	-	-	-	-	-	-	-	68.575269	-	-	-	-	58.0491	-	-	-	-	
1.25	-	-	-	-	-	-	-	-	-	-	68.188411	-	-	-	-	57.4357	-	-	-	-	
1.28125	-	-	-	-	-	-	-	-	-	-	58.276268	-	-	-	-	50.3299	-	-	-	-	
1.3125	-	-	-	-	-	-	-	-	-	-	69.53332	-	-	-	-	58.8814	-	-	-	-	
1.34375	-	-	-	-	-	-	-	-	-	-	64.867453	-	-	-	-	56.1676	-	-	-	-	
1.375	-	-	-	-	-	-	-	-	-	-	57.506461	-	-	-	-	50.0434	-	-	-	-	
1.40625	-	-	-	-	-	-	-	-	-	-	69.149601	-	-	-	-	59.3511	-	-	-	-	
1.4375	-	-	-	-	-	-	-	-	-	-	58.746214	-	-	-	-	49.6634	-	-	-	-	
1.46875	-	-	-	-	-	-	-	-	-	-	69.297859	-	-	-	-	58.8834	-	-	-	-	
1.5	-	-	-	-	-	-	-	-	-	-	67.541024	-	-	-	-	57.7359	-	-	-	-	
3.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
4	134.064072222	132.30678606	137.840553999	132.636236727	135.099267364	57.2508578449	56.1097800732	58.2975168228	56.63585186	57.9894151688	13.546250537	12.8954601288	14.2165529728	13.187961638	14.0407872796	11.7807875	11.1351	12.631	11.3345	12.1856	
4.125	132.306786	-	-	-	-	56.177222	-	-	-	-	12.929408	-	-	-	-	11.1351	-	-	-	-	
4.25	133.665145	-	-	-	-	57.235984	-	-	-	-	13.417681	-	-	-	-	11.7492	-	-	-	-	
4.375	132.960312	-	-	-	-	57.038958	-	-	-	-	13.405101	-	-	-	-	11.5825	-	-	-	-	
4.5	132.480501	-	-	-	-	57.045383	-	-	-	-	13.347106	-	-	-	-	11.3286	-	-	-	-	
4.625	133.168682	-	-	-	-	56.423738	-	-	-	-	13.261596	-	-	-	-	11.6592	-	-	-	-	
4.75	137.840554	-	-	-	-	57.994552	-	-	-	-	14.044481	-	-	-	-	11.9654	-	-	-	-	
4.875	137.404345	-	-	-	-	58.027986	-	-	-	-	14.184749	-	-	-	-	12.3965	-	-	-	-	
5.0	133.700604	-	-	-	-	57.720321	-	-	-	-	13.880782	-	-	-	-	11.952	-	-	-	-	
5.125	132.616909	-	-	-	-	56.911423	-	-	-	-	13.058751	-	-	-	-	11.2673	-	-	-	-	
5.25	134.868896	-	-	-	-	58.236656	-	-	-	-	14.059949	-	-	-	-	12.0935	-	-	-	-	
5.375	133.990655	-	-	-	-	57.387401	-	-	-	-	13.488686	-	-	-	-	12.631	-	-	-	-	
5.5	133.487798	-	-	-	-	56.877496	-	-	-	-	13.356583	-	-	-	-	11.3522	-	-	-	-	
5.625	132.505928	-	-	-	-	56.10978	-	-	-	-	12.89546	-	-	-	-	11.3992	-	-	-	-	
5.75	136.157763	-	-	-	-	58.297517	-	-	-	-	14.216553	-	-	-	-	12.2163	-	-	-	-	
