	mean_PythonSR_PythonFilter_OTFtime	min_PythonSR_PythonFilter_OTFtime	max_PythonSR_PythonFilter_OTFtime	firstquartile_PythonSR_PythonFilter_OTFtime	thirdquartile_PythonSR_PythonFilter_OTFtime	mean_PythonSR_SejitsFilter_OTFtime	min_PythonSR_SejitsFilter_OTFtime	max_PythonSR_SejitsFilter_OTFtime	firstquartile_PythonSR_SejitsFilter_OTFtime	thirdquartile_PythonSR_SejitsFilter_OTFtime	mean_SejitsSR_SejitsFilter_OTFtime	min_SejitsSR_SejitsFilter_OTFtime	max_SejitsSR_SejitsFilter_OTFtime	firstquartile_SejitsSR_SejitsFilter_OTFtime	thirdquartile_SejitsSR_SejitsFilter_OTFtime	mean_CombBLAS_OTFtime	min_CombBLAS_OTFtime	max_CombBLAS_OTFtime	firstquartile_CombBLAS_OTFtime	thirdquartile_CombBLAS_OTFtime	
0	1.6540681875	1.556003	2.606064	1.5662155	1.60820375	0.0866384375	0.061095	0.414682	0.0620395	0.068123	0.0550048125	0.051512	0.060593	0.0521155	0.057405	0.03606239375	0.032845	0.0390909	0.0346519	0.03774485	
1	1.556003	-	-	-	-	0.066251	-	-	-	-	0.059696	-	-	-	-	0.037921	-	-	-	-	
2	1.600635	-	-	-	-	0.414682	-	-	-	-	0.053795	-	-	-	-	0.0350392	-	-	-	-	
3	1.59443	-	-	-	-	0.064847	-	-	-	-	0.051574	-	-	-	-	0.0350029	-	-	-	-	
4	1.559909	-	-	-	-	0.061095	-	-	-	-	0.056387	-	-	-	-	0.0377591	-	-	-	-	
5	1.684674	-	-	-	-	0.065414	-	-	-	-	0.053016	-	-	-	-	0.0351522	-	-	-	-	
6	1.599308	-	-	-	-	0.066821	-	-	-	-	0.057159	-	-	-	-	0.0366051	-	-	-	-	
7	1.620015	-	-	-	-	0.061469	-	-	-	-	0.052939	-	-	-	-	0.035341	-	-	-	-	
8	1.556289	-	-	-	-	0.061852	-	-	-	-	0.054067	-	-	-	-	0.0359359	-	-	-	-	
9	1.569508	-	-	-	-	0.064136	-	-	-	-	0.054559	-	-	-	-	0.0371308	-	-	-	-	
10	1.602272	-	-	-	-	0.068557	-	-	-	-	0.060593	-	-	-	-	0.0390909	-	-	-	-	
11	1.586825	-	-	-	-	0.068986	-	-	-	-	0.059058	-	-	-	-	0.0377021	-	-	-	-	
12	2.606064	-	-	-	-	0.064335	-	-	-	-	0.054789	-	-	-	-	0.0343571	-	-	-	-	
13	1.576527	-	-	-	-	0.062814	-	-	-	-	0.051605	-	-	-	-	0.0343781	-	-	-	-	
14	1.610181	-	-	-	-	0.070606	-	-	-	-	0.057487	-	-	-	-	0.038203	-	-	-	-	
15	1.565118	-	-	-	-	0.062446	-	-	-	-	0.051512	-	-	-	-	0.0345349	-	-	-	-	
16	1.577333	-	-	-	-	0.061904	-	-	-	-	0.051841	-	-	-	-	0.032845	-	-	-	-	
17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
20	3.76505475	0.186189	6.131836	3.24040875	5.106593	0.4869824375	0.146699	0.651045	0.43953275	0.5593815	0.5272118125	0.161009	0.72404	0.49237	0.59277775	0.550979	0.188315	0.748091	0.49282075	0.64211625	
21	5.637923	-	-	-	-	0.474104	-	-	-	-	0.502243	-	-	-	-	0.354489	-	-	-	-	
22	5.937705	-	-	-	-	0.565982	-	-	-	-	0.669474	-	-	-	-	0.479886	-	-	-	-	
23	5.645742	-	-	-	-	0.523101	-	-	-	-	0.614092	-	-	-	-	0.433111	-	-	-	-	
24	3.333885	-	-	-	-	0.433122	-	-	-	-	0.515561	-	-	-	-	0.575846	-	-	-	-	
25	3.197087	-	-	-	-	0.43718	-	-	-	-	0.504439	-	-	-	-	0.566232	-	-	-	-	
26	3.216557	-	-	-	-	0.430657	-	-	-	-	0.489079	-	-	-	-	0.551515	-	-	-	-	
27	3.268284	-	-	-	-	0.446591	-	-	-	-	0.507243	-	-	-	-	0.582456	-	-	-	-	
28	0.186189	-	-	-	-	0.146699	-	-	-	-	0.161009	-	-	-	-	0.188315	-	-	-	-	
29	6.131836	-	-	-	-	0.651045	-	-	-	-	0.72404	-	-	-	-	0.670082	-	-	-	-	
30	3.512603	-	-	-	-	0.561642	-	-	-	-	0.594622	-	-	-	-	0.748091	-	-	-	-	
31	3.259437	-	-	-	-	0.464895	-	-	-	-	0.487872	-	-	-	-	0.555413	-	-	-	-	
32	3.400748	-	-	-	-	0.5526	-	-	-	-	0.554536	-	-	-	-	0.647261	-	-	-	-	
33	3.426908	-	-	-	-	0.590501	-	-	-	-	0.587245	-	-	-	-	0.683507	-	-	-	-	
34	3.234066	-	-	-	-	0.453729	-	-	-	-	0.451977	-	-	-	-	0.531625	-	-	-	-	
35	3.432819	-	-	-	-	0.537161	-	-	-	-	0.544208	-	-	-	-	0.626682	-	-	-	-	
36	3.419087	-	-	-	-	0.52271	-	-	-	-	0.527749	-	-	-	-	0.621153	-	-	-	-	
37	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
39	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
40	3.39620893333	0.246522	4.372581	3.887	4.245208	0.927284266667	0.272447	1.234382	0.866533	1.131378	1.0831888	0.3261	1.467377	0.998664	1.304533	1.1912420625	0.277104	2.03902	0.97071175	1.463775	
41	4.372581	-	-	-	-	1.206831	-	-	-	-	1.347598	-	-	-	-	0.920789	-	-	-	-	
42	0.246522	-	-	-	-	0.272447	-	-	-	-	0.3261	-	-	-	-	0.277104	-	-	-	-	
43	4.046543	-	-	-	-	1.014437	-	-	-	-	1.226685	-	-	-	-	1.23758	-	-	-	-	
44	4.31135	-	-	-	-	1.143834	-	-	-	-	1.397389	-	-	-	-	1.40328	-	-	-	-	
45	0.505741	-	-	-	-	0.518197	-	-	-	-	0.644192	-	-	-	-	0.521838	-	-	-	-	
46	4.189994	-	-	-	-	1.084266	-	-	-	-	1.287335	-	-	-	-	1.48394	-	-	-	-	
47	4.245208	-	-	-	-	1.131378	-	-	-	-	1.295007	-	-	-	-	1.59521	-	-	-	-	
48	4.033733	-	-	-	-	0.977544	-	-	-	-	1.103392	-	-	-	-	1.3287	-	-	-	-	
49	4.157252	-	-	-	-	0.982838	-	-	-	-	1.107413	-	-	-	-	1.23777	-	-	-	-	
50	3.887	-	-	-	-	0.866533	-	-	-	-	0.998664	-	-	-	-	1.12048	-	-	-	-	
51	3.972467	-	-	-	-	0.949372	-	-	-	-	1.092294	-	-	-	-	1.22515	-	-	-	-	
52	3.928602	-	-	-	-	0.88213	-	-	-	-	1.010294	-	-	-	-	1.12905	-	-	-	-	
53	4.299368	-	-	-	-	1.234382	-	-	-	-	1.467377	-	-	-	-	2.03902	-	-	-	-	
54	4.216159	-	-	-	-	1.092556	-	-	-	-	1.304533	-	-	-	-	1.55156	-	-	-	-	
55	0.530614	-	-	-	-	0.552519	-	-	-	-	0.639559	-	-	-	-	0.699982	-	-	-	-	
56	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.28842	-	-	-	-	
57	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
58	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
59	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
60	4.73658946154	0.690204	8.618529	4.32303575	5.432024	1.49910130769	0.703214	2.588869	1.33066075	1.748595	1.53541315385	0.772248	2.328425	1.42999425	1.5672715	1.74130830769	0.972128	2.57692	1.4234175	2.0714475	
61	5.510179	-	-	-	-	2.588869	-	-	-	-	1.498723	-	-	-	-	1.61783	-	-	-	-	
62	5.952745	-	-	-	-	1.392253	-	-	-	-	1.503533	-	-	-	-	1.4658	-	-	-	-	
63	8.618529	-	-	-	-	1.406694	-	-	-	-	1.482676	-	-	-	-	1.40929	-	-	-	-	
64	4.425022	-	-	-	-	1.360255	-	-	-	-	1.458078	-	-	-	-	1.99065	-	-	-	-	
65	4.432726	-	-	-	-	1.407182	-	-	-	-	1.540666	-	-	-	-	1.67238	-	-	-	-	
66	4.35296	-	-	-	-	1.320796	-	-	-	-	1.420633	-	-	-	-	1.30702	-	-	-	-	
67	5.197559	-	-	-	-	2.127796	-	-	-	-	2.328425	-	-	-	-	2.57692	-	-	-	-	
68	4.957264	-	-	-	-	1.861958	-	-	-	-	2.048579	-	-	-	-	2.25912	-	-	-	-	
69	4.313061	-	-	-	-	1.36166	-	-	-	-	1.506866	-	-	-	-	1.86478	-	-	-	-	
70	4.434786	-	-	-	-	1.364935	-	-	-	-	1.523526	-	-	-	-	1.81239	-	-	-	-	
71	4.475233	-	-	-	-	1.408506	-	-	-	-	1.57614	-	-	-	-	2.09838	-	-	-	-	
72	0.690204	-	-	-	-	0.703214	-	-	-	-	0.772248	-	-	-	-	0.972128	-	-	-	-	
73	4.215395	-	-	-	-	1.184199	-	-	-	-	1.300278	-	-	-	-	1.59032	-	-	-	-	
74	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
75	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
76	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
77	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
78	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
