--Reading network from /home/aydin/twitter/twitter_from06_to-06.induced.bin.remapped.bin.converted.balanced
Read in 4.469429s. Read 	526319	 vertices and 	65363924	 edges.
--calculating degrees on original graph
Calculated in 2.846695s.
--Generating starting verts
Generated starting verts in 7.228048s.
--Doing BFS
12464064.000000	: iteration  1: start=  219486, BFS took 	0.002881	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	22,687,534,582	, TEPS=	241,579,623	 (result discarded)
12464064.000000	: iteration  2: start=  524837, BFS took 	0.003446	s, covered 	696003	 edges, discovered 	2	 verts, TEPS incl. filtered edges=	18,968,807,021	, TEPS=	201,982,160	 (result discarded)
12464064.000000	: iteration  3: start=  379120, BFS took 	0.003804	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	17,183,087,927	, TEPS=	182,967,606	 (result discarded)
12464064.000000	: iteration  4: start=  490822, BFS took 	0.001559	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	41,926,314,098	, TEPS=	446,436,483	 (result discarded)
12464064.000000	: iteration  5: start=      60, BFS took 	0.001522	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	42,944,261,887	, TEPS=	457,275,715	 (result discarded)
12464064.000000	: iteration  6: start=   67434, BFS took 	0.004462	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	14,649,007,100	, TEPS=	155,984,406	 (result discarded)
12464064.000000	: iteration  7: start=  159123, BFS took 	0.002943	s, covered 	696003	 edges, discovered 	2	 verts, TEPS incl. filtered edges=	22,209,670,114	, TEPS=	236,491,264	 (result discarded)
12464064.000000	: iteration  8: start=  525814, BFS took 	0.001848	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	35,370,425,479	, TEPS=	376,628,585	 (result discarded)
12464064.000000	: iteration  9: start=   77240, BFS took 	0.005712	s, covered 	696003	 edges, discovered 	3	 verts, TEPS incl. filtered edges=	11,443,199,260	, TEPS=	121,848,575	 (result discarded)
12464064.000000	: iteration 10: start=  124258, BFS took 	0.005259	s, covered 	696003	 edges, discovered 	2	 verts, TEPS incl. filtered edges=	12,428,876,955	, TEPS=	132,344,191	 (result discarded)
12464064.000000	: iteration 11: start=   48599, BFS took 	0.002876	s, covered 	696003	 edges, discovered 	3	 verts, TEPS incl. filtered edges=	22,727,030,414	, TEPS=	242,000,179	 (result discarded)
